Brand,Car Model,Car Name,Car Variant,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location
Maruti,2011,Ritz VXI,Ritz VXI,Manual,"96,515 km",1st owner,Petrol,MH05-AX2513,"₹8,567/month",₹1.82 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2021,Amaze 1.2L I-VTEC S,Amaze 1.2L I-VTEC S,Manual,"15,721 km",1st owner,Petrol,MH05-EQ6325,"₹11,887/month",₹6.08 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2021,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,Automatic,"11,769 km",1st owner,Petrol,MH43-BU8305,"₹14,702/month",₹7.52 Lakh,On Zero down payment,"Mulund West, Mumbai"
Volkswagen,2013,Vento COMFORTLINE DIESEL 1.6,Vento COMFORTLINE DIESEL 1.6,Manual,"89,759 km",1st owner,Diesel,MH03-BH7022,"₹10,529/month",₹3.17 Lakh,On Zero down payment,"Mulund West, Mumbai"
Renault,2019,Kwid RXT 1.0 AMT (O),Kwid RXT 1.0 AMT (O),Automatic,"33,843 km",2nd owner,Petrol,MH04-KD3918,"₹6,647/month",₹3.4 Lakh,On Zero down payment,Seawood
Maruti,2015,Swift Dzire VXI,Swift Dzire VXI,Manual,"84,357 km",1st owner,Petrol,MH43-AT0194,"₹7,253/month",₹3.71 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2012,City 1.5L I-VTEC CORPORATE MT,City 1.5L I-VTEC CORPORATE MT,Manual,"62,671 km",1st owner,Petrol,MH03-BE6570,"₹10,064/month",₹3.03 Lakh,On Zero down payment,Seawood
Tata,2020,NEXON XM SUNROOF PETROL,NEXON XM SUNROOF PETROL,Manual,"3,646 km",1st owner,Petrol,MH02-FN0427,"₹15,303/month",₹8.04 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2021,New Wagon-R VXI 1.2,New Wagon-R VXI 1.2,Manual,"18,693 km",1st owner,Petrol,MH03-DU5217,"₹11,163/month",₹5.71 Lakh,On Zero down payment,"Mulund West, Mumbai"
Nissan,2022,MAGNITE XV MT,MAGNITE XV MT,Manual,"32,892 km",1st owner,Petrol,MH47-BF3365,"₹13,001/month",₹6.65 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2017,IGNIS ZETA 1.2 AMT DUAL TONE,IGNIS ZETA 1.2 AMT DUAL TONE,Automatic,"38,048 km",2nd owner,Petrol,MH19-CU1246,"₹9,775/month",₹5 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2016,Grand i10 MAGNA 1.2 KAPPA VTVT,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"33,204 km",2nd owner,Petrol,MH04-HM1928,"₹7,840/month",₹4.01 Lakh,On Zero down payment,"Goregaon, Mumbai"
Ford,2018,FREESTYLE TREND 1.2 PETROL,FREESTYLE TREND 1.2 PETROL,Manual,"33,314 km",1st owner,Petrol,MH46-BE9415,"₹9,384/month",₹4.8 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2012,Alto 800 LXI,Alto 800 LXI,Manual,"27,138 km",2nd owner,Petrol,MH02-CV1709,"₹6,444/month",₹1.94 Lakh,On Zero down payment,Seawood
Honda,2018,Jazz 1.2L I-VTEC VX AT,Jazz 1.2L I-VTEC VX AT,Manual,"24,232 km",1st owner,Petrol,MH03-DA0841,"₹13,138/month",₹6.72 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2021,New Wagon-R LXI CNG 1.0,New Wagon-R LXI CNG 1.0,Manual,"26,725 km",1st owner,CNG,MH46-BV5706,"₹11,897/month",₹6.09 Lakh,On Zero down payment,Seawood
Tata,2023,TIGOR XMA PETROL,TIGOR XMA PETROL,Automatic,"6,789 km",1st owner,Petrol,MH47-BK4114,"₹13,998/month",₹7.16 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2017,City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Manual,"22,437 km",2nd owner,Petrol,MH03-CM3502,"₹13,842/month",₹7.08 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2015,Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"33,236 km",1st owner,Petrol,MH47-A0452,"₹6,940/month",₹3.55 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2019,Baleno DELTA CVT PETROL 1.2,Baleno DELTA CVT PETROL 1.2,Automatic,"16,547 km",2nd owner,Petrol,MH04-KD1089,"₹11,730/month",₹6 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2016,Celerio VXI CNG,Celerio VXI CNG,Manual,"90,219 km",2nd owner,CNG,MH02-EE7634,"₹8,987/month",₹4.04 Lakh,On Zero down payment,Seawood
Honda,2018,Jazz 1.2L I-VTEC VX,Jazz 1.2L I-VTEC VX,Manual,"26,130 km",2nd owner,Petrol,MH01-DB3180,"₹9,423/month",₹4.82 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2016,Baleno DELTA CVT PETROL 1.2,Baleno DELTA CVT PETROL 1.2,Automatic,"58,631 km",2nd owner,Petrol,MH01-CD6011,"₹10,088/month",₹5.16 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2017,Vitara Brezza VDI,Vitara Brezza VDI,Manual,"53,140 km",1st owner,Diesel,MH02-EK7795,"₹13,216/month",₹6.76 Lakh,On Zero down payment,Seawood
Volkswagen,2016,Ameo HIGHLINE1.2L,Ameo HIGHLINE1.2L,Manual,"11,341 km",1st owner,Petrol,MH06-BU1049,"₹9,462/month",₹4.84 Lakh,On Zero down payment,Seawood
Hyundai,2018,Verna 1.6 VTVT SX (O) AT,Verna 1.6 VTVT SX (O) AT,Automatic,"63,920 km",1st owner,Petrol,MH47-AG0626,"₹15,855/month",₹8.33 Lakh,On Zero down payment,Seawood
Skoda,2015,Rapid ELEGANCE 1.6 MPI MT,Rapid ELEGANCE 1.6 MPI MT,Manual,"63,084 km",1st owner,Petrol,MH02-EE0977,"₹7,703/month",₹3.94 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2015,Elite i20 SPORTZ 1.2,Elite i20 SPORTZ 1.2,Manual,"63,269 km",2nd owner,Petrol,MH01-BY6075,"₹7,728/month",₹3.95 Lakh,On Zero down payment,"Mulund West, Mumbai"
Skoda,2020,Rapid AMBITION TSI,Rapid AMBITION TSI,Manual,"22,978 km",1st owner,Petrol,MH03-DK4913,"₹14,448/month",₹7.39 Lakh,On Zero down payment,Seawood
Honda,2011,City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Manual,"90,143 km",2nd owner,Petrol,MH01-AX8802,"₹12,239/month",₹2.6 Lakh,On Zero down payment,"Mulund West, Mumbai"
