Brand,Car Model,Car Name,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location,City
Volkswagen,2022,VIRTUS HIGHLINE TSI 1.0 MT,Manual,15098,1st,Petrol,MH04-LH0876,22232,1168000,0,Mulund West,Mumbai
Hyundai,2014,Verna FLUIDIC 1.6 VTVT SX,Manual,65189,2nd,Petrol,MH02-DN9736,9699,436000,0,Seawood,Mumbai
Maruti,2017,IGNIS DELTA 1.2 AMT,Automatic,20687,1st,Petrol,MH03-CM2566,9482,484999,0,Goregaon,Mumbai
Hyundai,2011,i20 ASTA 1.2,Manual,72357,3rd,Petrol,MH02-BZ9982,10733,227999,0,Goregaon,Mumbai
Maruti,2015,Ertiga VXI CNG,Manual,52143,3rd,CNG,MH03-BW1241,15511,589000,0,Goregaon,Mumbai
Hyundai,2014,i20 SPORTZ 1.2,Manual,35207,2nd,Petrol,MH02-DN0814,8141,366000,0,Goregaon,Mumbai
Maruti,2019,Baleno ALPHA PETROL 1.2,Manual,51655,1st,Petrol,MH47-AG7461,11234,575000,0,Goregaon,Mumbai
Maruti,2017,Baleno DELTA PETROL 1.2,Manual,57626,1st,Petrol,MH04-HX7906,9325,476999,0,Goregaon,Mumbai
Hyundai,2015,Elite i20 MAGNA 1.2,Manual,69078,1st,Petrol,MH46-AL4472,8485,434000,0,Goregaon,Mumbai
Honda,2016,City 1.5L I-VTEC V MT,Manual,35825,1st,Petrol,MH01-CH5957,10459,535000,0,Seawood,Mumbai
Honda,2012,Brio S MT,Manual,60023,3rd,Petrol,MH02-CP8597,6875,206999,0,Seawood,Mumbai
Honda,2018,Amaze 1.2L I-VTEC V CVT,Automatic,66032,1st,Petrol,MH03-DA8008,11476,587000,0,Seawood,Mumbai
Maruti,2011,Swift ZXI,Manual,67725,2nd,Petrol,MH01-BB2081,13981,297000,0,Mulund West,Mumbai
Hyundai,2016,Creta E PLUS 1.6 PETROL,Manual,56586,2nd,Petrol,MH03-CB8150,13001,665000,0,Mulund West,Mumbai
Honda,2012,City 1.5L I-VTEC V MT,Manual,69461,3rd,Petrol,MH03-BH4579,10330,311000,0,Mulund West,Mumbai
Maruti,2020,Celerio ZXI,Manual,23043,2nd,Petrol,MH19-CV8147,7840,401000,0,Mulund West,Mumbai
Maruti,2020,Baleno DELTA PETROL 1.2,Manual,29044,1st,Petrol,MH43-BU2433,11750,601000,0,Mulund West,Mumbai
Tata,2018,NEXON XM PETROL,Manual,13664,2nd,Petrol,MH47-AB9813,11300,578000,0,Mulund West,Mumbai
Maruti,2017,Dzire ZDI PLUS,Manual,92625,1st,Diesel,MH47-W2905,12375,633000,0,Goregaon,Mumbai
Maruti,2017,Ciaz ZDI+ SHVS,Manual,75584,1st,Diesel,MH02-EK6504,11847,606000,0,Mulund West,Mumbai
Maruti,2017,Wagon R 1.0 VXI,Manual,19020,1st,Petrol,MH01-CP7619,7054,361000,0,Goregaon,Mumbai
Maruti,2014,Celerio VXI,Manual,65485,1st,Petrol,MH47-A0493,6851,308000,0,Goregaon,Mumbai
Honda,2015,City 1.5L I-VTEC S MT,Manual,79021,2nd,Petrol,MH02-DW2210,8465,433000,0,Goregaon,Mumbai
Maruti,2018,Ertiga ZDI SHVS,Manual,47225,1st,Diesel,MH02-EU5968,15989,840000,0,Goregaon,Mumbai
Honda,2015,City 1.5L I-VTEC VX (O) MT,Manual,29479,1st,Petrol,MH01-CD0341,11459,586000,0,Mulund West,Mumbai
Maruti,2022,BREZZA ZXI SMART HYBRID,Manual,5377,1st,Petrol,MH03-EB1506,22517,1183000,0,Goregaon,Mumbai
Hyundai,2011,i10 MAGNA 1.1,Manual,79115,2nd,Petrol,MH04-ET2698,9226,196000,0,Goregaon,Mumbai
Maruti,2014,Swift VXI,Manual,69220,1st,Petrol,MH46-Z5440,7897,355000,0,Goregaon,Mumbai
Tata,2018,TIGOR XZA PETROL,Automatic,48178,2nd,Petrol,MH04-JM7858,9576,490000,0,Mulund West,Mumbai
Maruti,2021,S PRESSO VXI+,Manual,12655,1st,Petrol,MH03-DU4502,7996,409000,0,Goregaon,Mumbai
Skoda,2017,Rapid STYLE 1.6 MPI AT,Automatic,84858,3rd,Petrol,MH03-CS1294,10342,529000,0,Goregaon,Mumbai
Renault,2019,Duster 110 PS RXZ MT DIESEL,Manual,89481,2nd,Diesel,MH47-AN2795,14545,744000,0,Mulund West,Mumbai
